ID	Sentence	TW1	TW2	TW3	TW4	TW5	Question	?1	?2	?3	?4	answ	nchar	nword	hasQuest	Zstring	same_len	z_answ	no_cap
179	After the thunderstorm, the children went outside to photograph the beautiful rainbow in the sky.	thunderstorm,	children	outside	photograph	beautiful							97	15	0	Zzzzz zzz zzzzzzzzzozzz zzz zzzzzzzz zzzz zzzzzzo zz zzzzzzzzzz zzz zzzzzzzzz zzzzzzz zz zzz zozz	1	3	0
180	The new medicine was confirmed to improve the patient long-term outcome and to reduce their recovery time.	medicine	confirmed	improve	patient	outcome							106	17	0	Zzz ozz zzzzzzzz zzz zzzzzzzzz zz zozzzzz zzz zzzzzzz zzzzzzzoz zzzzzzz zzz zz zzzzoz zzzzz zzzzzzzz zzzzz	1	4	0
181	She is the author of a series of successful high school biology textbooks.	the	of	series	successful	school	What did she write?	biology textbooks	cooking recipes	cheques	complaints	1	74	13	1	Zzz zz zoz zzzzzz zz z zzzzzz zz zzzzzzzzzz zzzz zzzzzz zzzzzzz zzzzzzzzzz	1	1	0
182	In the end, the show had to be cancelled due to its sinking ratings.	end,	show	to	cancelled	to	What happened to the show?	it went viral	it was cancelled	it was renewed	it was praised	2	68	14	1	Zz zzz zzzo zzz zzzz zzz zz zz zzzozzzzz zzz zz zzz zzzzzzz zzzzzzzz	1	2	0
183	Last week, Anna spent hours on the phone with her friend.	Anna	hours	the	with	friend.	Who did Anna talk to?	the President	the Mayor	her friend	her boss	3	57	11	1	Zzzz zozzz Zzzz zzozz zzzzz zz zzo zzzzz zzzz zzz zzzzzzz	1	3	0
184	Recovering from the recession proved to be very challenging for the small country.	the	proved	be	challenging	the							82	13	0	Zzzzzzzzzz zzzz zzo zzzzzzzzz zzzozz zz oz zzzz zzzzzzzzzzz zzz zoz zzzzz zzzzzzzz	1	4	0
185	The dangerous political situation forced many activists to emigrate.	political	forced	activists	emigrate.								68	9	0	Zzz zzozzzzzz zzzzzzzzz zzzzzzzzz zzzzzz zzzz zzzzzzzzz zz zzzzzzzzz	1	1	0
186	The castle attracted many visitors from abroad, even when it was still in ruins.	attracted	visitors	abroad,	when	was							80	14	0	Zzz zzzzzz zzzzzzzzz ozzz zzzzzzzz zzzz zzzzzzz zzzz zzzo zz zzz zzzzz zz zzzzzz	1	2	0
187	As the artist drew the child with the big ears, his parents sat watching nearby.	artist	the	with	big	his	What did the artist draw?	a child	a galaxy	a sunset	a forest	1	80	15	1	Zz zzz zzzzzz zzzz zzz zzzoz zzzz ozz zzz zzzzz zzz zzzzzzz zzz zzzozzzz zzzzzzz	1	3	0
188	While Tom grilled the sausages, his wife entertained the guests with stories of their latest vacation.	grilled	sausages,	wife	the	with	What did Tom do?	paint a fence	grill sausages	water the flowers	answer the door	2	102	16	1	Zzzzz Zzz zzzzzzz zzo zzzzzzzzz zzz zzzz zzzzzzzzzoz zzz zzzzzz zzzz zzzzzzo zz zzzzz ozzzzz zzzzzzzzz	1	4	0
189	They had taken a trip to the Amazon rainforest and had seen many wonderful creatures.	taken	trip	the	rainforest	had	Where did they travel to?	the Netherlands	the White House	the Amazon rainforest	the Sahara Desert	3	85	15	1	Zzzz zzz zzzzz z zzzz zz zzz Zozzzz zzzzzzzzzz zzz zzz zzzz zzzz zzzzzzzzz zzzzzzzzzz	1	1	0
190	While Richard drove the sedan, his cousin Barney drove the moving truck to their new apartment.	drove	sedan,	cousin	drove	moving							95	16	0	Zzzzz Zzzzzoz zzzzz zzz zzzzzz zzz zzzzzz Zzzzzz zzzzz zzz zzzzzz zzzzz zo zzzzz zzz zzzzzzzzzz	1	2	0
191	As the adventurer paddled the raft down the stream, he was looking for a safe place to come ashore.	adventurer	the	down	stream,	was							99	19	0	Zz zzz zzzzzzzzzz zzzzzoz zzz zzzo zzzz zzz zzzzzzz zz zzz zzozzzz zzz z zzzz zzzzz zz zzzz zzzzzzz	1	3	0
192	As Henry whittled the stick for roasting marshmallows, his father put another log on the campfire.	whittled	stick	roasting	his	put							98	16	0	Zz Zzzzo zzzzzzzz zzz zzzzo zzz zzzzzzzz zzzzzzzzzzzzz zzz zzzzzz zzz zzozzzz zzz zz zzo zzzzzzzzz	1	4	0
